provider_org_code,treatment_function_code,n_months,cluster,pressure_index_0_100,rtt_growth,rtt_over18_share,rtt_over52_share,dm01_breach,ae_pressure,kh03_occupancy,cluster_mean_pressure,cluster_size
RBL,C_999,84,1,54.72303166208983,0.3332929005407212,0.35935595238095236,0.025830413471933805,0.08845238095238095,0.3312833333333333,0.8881857142857144,54.271483523564385,135
RBL,X01,24,0,19.509149668429448,-0.2698170043774539,0.22217083333333332,0.005211078147282871,0.09573750000000002,0.2241375,0.819,17.323822779906603,31
RBL,X02,60,1,51.42911105514984,1.165934771443246,0.25187333333333334,0.005230663331116204,0.08553833333333333,0.37414166666666665,0.91586,54.271483523564385,135
RBL,X04,60,1,56.44589943758919,0.7797331492983667,0.34467333333333333,0.002922145421844464,0.08553833333333333,0.37414166666666665,0.91586,54.271483523564385,135
RBL,X05,60,1,77.30000839419122,0.2914111792410913,0.45928166666666664,0.06169368914464759,0.08553833333333333,0.37414166666666665,0.91586,54.271483523564385,135
RBL,X06,60,1,40.67699152186687,0.2461523360816647,0.11529666666666666,0.008009335209098658,0.08553833333333333,0.37414166666666665,0.91586,54.271483523564385,135
RBN,C_100,84,1,54.44952093151539,1.4248779476052205,0.3200904761904762,0.0315268743318701,0.17522976190476192,0.27980952380952384,0.9444892857142858,54.271483523564385,135
RBN,C_101,84,1,51.604389762284505,1.0265475951760292,0.29253809523809526,0.030442804797954824,0.17522976190476192,0.27980952380952384,0.9444892857142858,54.271483523564385,135
RBN,C_110,84,1,63.50645353415437,1.699717261904762,0.371425,0.05548485360453258,0.17522976190476192,0.27980952380952384,0.9444892857142858,54.271483523564385,135
RBN,C_120,84,1,53.523461764459,1.5954106280193237,0.281275,0.03675274170983976,0.17522976190476192,0.27980952380952384,0.9444892857142858,54.271483523564385,135
RBN,C_130,84,1,43.12106022632339,0.8271017938188892,0.2553345238095238,0.011145228175701174,0.17522976190476192,0.27980952380952384,0.9444892857142858,54.271483523564385,135
RBN,C_140,84,1,41.185799426796656,1.4887596392628415,0.22815238095238094,0.004820256887431959,0.17522976190476192,0.27980952380952384,0.9444892857142858,54.271483523564385,135
RBN,C_150,84,1,39.52314998021369,0.10136054421768706,0.2572869047619048,0.0028146796800743116,0.17522976190476192,0.27980952380952384,0.9444892857142858,54.271483523564385,135
RBN,C_160,84,1,73.65692940485185,1.680000697204211,0.47010357142857145,0.08986552700208386,0.17522976190476192,0.27980952380952384,0.9444892857142858,54.271483523564385,135
RBN,C_170,19,1,70.95856725969159,-0.6029411764705882,0.7058823529411765,0.17647058823529413,0.1824263157894737,0.30139473684210527,0.9504210526315789,54.271483523564385,135
RBN,C_300,84,1,29.368377083058526,0.08794307196562828,0.09302142857142856,0.001613147313046186,0.17522976190476192,0.27980952380952384,0.9444892857142858,54.271483523564385,135
RBN,C_301,84,1,38.553121240101845,1.2627349624060151,0.19662380952380953,0.0021866875655461937,0.17522976190476192,0.27980952380952384,0.9444892857142858,54.271483523564385,135
RBN,C_320,84,1,42.23537312179971,0.9940324840433813,0.2520154761904762,0.00382467899229101,0.17522976190476192,0.27980952380952384,0.9444892857142858,54.271483523564385,135
RBN,C_330,84,1,45.5030119157543,1.0932023926614343,0.27762261904761903,0.008830276186087843,0.17522976190476192,0.27980952380952384,0.9444892857142858,54.271483523564385,135
RBN,C_340,84,1,37.095629824161676,0.6756088280060882,0.21122261904761905,0.001321647299898322,0.17522976190476192,0.27980952380952384,0.9444892857142858,54.271483523564385,135
RBN,C_410,84,1,38.82183528997933,0.3617343844754397,0.21692142857142857,0.006574061833016594,0.17522976190476192,0.27980952380952384,0.9444892857142858,54.271483523564385,135
RBN,C_430,84,1,31.918612320274367,0.5652228976697062,0.1311297619047619,0.00011200568546895385,0.17522976190476192,0.27980952380952384,0.9444892857142858,54.271483523564385,135
RBN,C_502,84,1,56.22868974669529,2.1130505505505504,0.3474904761904762,0.023750256319186525,0.17522976190476192,0.27980952380952384,0.9444892857142858,54.271483523564385,135
RBN,C_999,84,1,52.77737805438636,1.2623599992919758,0.3073071428571429,0.02974870287251532,0.17522976190476192,0.27980952380952384,0.9444892857142858,54.271483523564385,135
