provider_org_code,treatment_function_code,period,period_month,waiting_list_size,baseline_wl,rtt_growth,rtt_over18_share,rtt_over52_share,dm01_breach,ae_pressure,ae_pressure_imputed,kh03_occupancy,pressure_index_raw,pressure_index_0_100
RBT,X05,RTT-March-2026,2026-03-01,3070.0,205.0,13.975609756097562,0.4072,0.031921824104234525,0.0829,0.36419999999999997,False,0.9356,1.9200448315718228,94.0507837565313
RBT,C_502,RTT-March-2026,2026-03-01,2337.0,1098.3333333333333,1.1277693474962067,0.3924,0.04065040650406504,0.0829,0.36419999999999997,False,0.9356,0.8245350832660834,72.92144101200844
RBT,C_301,RTT-March-2026,2026-03-01,1608.0,696.0,1.3103448275862069,0.5858,0.01616915422885572,0.0829,0.36419999999999997,False,0.9356,1.0982477519172325,80.26400220001834
RBT,C_430,RTT-March-2026,2026-03-01,14.0,51.0,-0.7254901960784313,0.0714,0.0,0.0829,0.36419999999999997,False,0.9356,-0.5046357160980712,34.09111742597855
REM,X05,RTT-March-2026,2026-03-01,9010.0,3564.0,1.528058361391695,0.4097,0.009655937846836849,0.11,0.2996,False,0.9633,0.4224745230815119,60.73883949032909
REN,X02,RTT-March-2026,2026-03-01,378.0,714.0,-0.47058823529411764,0.0317,0.0,0.0,0.3128666666666666,True,0.9084,-0.889882466377386,24.154367953066274
REP,C_502,RTT-March-2026,2026-03-01,10582.0,5701.666666666667,0.8559485530546622,0.4171,0.026365526365526366,0.043,0.12649999999999995,False,0.6287,-1.9688841572248756,6.710055917132643
REP,X06,RTT-March-2026,2026-03-01,1278.0,620.0,1.0612903225806454,0.2496,0.0,0.043,0.12649999999999995,False,0.6287,-2.6053754752443856,3.9600330002750024
RET,X02,RTT-March-2026,2026-03-01,2950.0,1979.0,0.4906518443658414,0.3908,0.0013559322033898306,0.0034,0.3128666666666666,True,0.8217,-0.35147889598275905,38.55532129434412
RJN,C_110,RTT-March-2026,2026-03-01,1521.0,1255.3333333333333,0.21163037705788645,0.4642,0.023011176857330704,0.1393,0.4919,False,0.9171,1.234120216772463,83.27069392244935
RJN,C_340,RTT-March-2026,2026-03-01,1095.0,215.66666666666666,4.077279752704792,0.516,0.06757990867579909,0.1393,0.4919,False,0.9171,2.109410084365405,95.53579613163443
RJN,X02,RTT-March-2026,2026-03-01,792.0,405.0,0.9555555555555555,0.2727,0.011363636363636364,0.1393,0.4919,False,0.9171,0.7193572719758713,70.01558346319553
RJN,X06,RTT-March-2026,2026-03-01,69.0,12.0,4.75,0.2754,0.0,0.1393,0.4919,False,0.9171,0.9590366387724543,76.73480612338436
RJR,C_301,RTT-March-2026,2026-03-01,687.0,1057.0,-0.35004730368968784,0.131,0.001455604075691412,0.1626,0.3902,False,0.9934,0.03605622168422795,49.26207718397653
RJR,X02,RTT-March-2026,2026-03-01,2858.0,1916.0,0.4916492693110648,0.3132,0.0013995801259622112,0.1626,0.3902,False,0.9934,0.5620034447384152,65.31304427536895
RJR,X06,RTT-March-2026,2026-03-01,354.0,1553.0,-0.7720540888602705,0.1017,0.0,0.1626,0.3902,False,0.9934,-0.08720258700576566,45.98954991291594
