provider_org_code,period_month,pressure_index_0_100,rtt_growth,rtt_over18_share,rtt_over52_share,dm01_breach,ae_pressure,kh03_occupancy
RET,2019-09-01,7.666452775995356,0.07342881217895518,0.14986666666666668,0.00014442518775274407,0.0,0.17436666666666667,0.781
RET,2019-10-01,5.921716014300119,0.06933184250801634,0.15963333333333332,0.00015015015015015014,0.0017,0.18671111111111113,0.7163
RET,2019-11-01,7.073670058361597,0.021389267024438514,0.1575,0.00015276504735716468,0.0009000000000000001,0.22341111111111112,0.7163
RET,2019-12-01,7.360894674122284,-0.016604938747978637,0.15483333333333332,0.0,0.0,0.23170000000000002,0.7163
RET,2020-01-01,9.475356739083937,0.0005686869836012779,0.15653333333333333,0.0,0.0015000000000000002,0.2193333333333333,0.7685
RET,2020-02-01,8.161456901029732,0.011254633266895206,0.1678666666666667,0.0,0.0017,0.18774444444444446,0.7685
RET,2020-03-01,7.623674641733126,0.07598526233598328,0.20709999999999998,0.0,0.0145,0.15826666666666667,0.7685
RET,2020-04-01,0.32694716900418613,0.08698183507735784,0.28719999999999996,0.0,0.7131,0.06829999999999999,0.4805
RET,2020-05-01,0.4950041250343753,0.09571746152788152,0.3859333333333333,0.00012693577050012695,0.7102,0.04981111111111111,0.4805
RET,2020-06-01,1.5736242246463166,0.08108359869524939,0.4857,0.0006459811063068294,0.3915,0.0657222222222222,0.4805
RET,2020-07-01,4.060867173893116,0.08727615153002488,0.5187,0.00237566604814019,0.2134,0.06971111111111111,0.604
RET,2020-08-01,4.528371069758914,0.09833337386926107,0.4416,0.0036283691952147257,0.05960000000000001,0.09903333333333335,0.604
RET,2020-09-01,5.02031961377456,0.10410238220631085,0.3743666666666667,0.004220762831021679,0.0206,0.13994444444444445,0.604
RET,2020-10-01,9.728969963638585,0.11310792374107718,0.33813333333333334,0.009017705540914881,0.012500000000000002,0.1627111111111111,0.7032000000000002
RET,2020-11-01,9.539523940477281,0.074326874471443,0.305,0.015642432405795197,0.0098,0.15506666666666666,0.7032000000000002
RET,2020-12-01,11.690652977663703,0.10715789257937884,0.29893333333333333,0.017107010958754255,0.0076,0.19205555555555553,0.7032000000000002
RET,2021-01-01,11.967183059858833,0.06189518990472426,0.3097,0.02010240404613356,0.0032,0.2073222222222222,0.6927
RET,2021-02-01,10.603630030250251,0.03885983855526501,0.29285,0.028090636139734185,0.0059,0.17145555555555556,0.6927
RET,2021-03-01,7.58777156476304,0.07342216969344142,0.24335,0.02494155280052126,0.0049,0.15053333333333332,0.6927
